episode,reward,td_error,epsilon,hops,delay_ms,dropped,avg_util
149,0.6,0.54,0.9965986407032973,1,4.0,0.0,0.0038461538461538464
150,-0.30000000000000004,0.16605506129480996,0.996582097268845,4,13.0,0.0,0.02307692307692308
151,-0.09999999999999998,0.19448695161,0.9965655541090118,4,11.0,0.0,0.011538461538461537
152,0.09999999999999987,0.175560854139,0.9965531469193531,3,9.0,0.0,0.013846153846153845
153,-1.2999999999999998,0.1040413182643125,0.9965200618354394,8,23.0,0.0,0.0376923076923077
154,-2.9000000000000004,0.28773321784968714,0.9964869778499345,8,19.0,0.0,0.029615384615384616
155,-0.19999999999999996,0.17935675487499997,0.996470436269074,4,12.0,0.0,0.025384615384615387
156,0.7,0.45926999999999996,0.9964663009167635,1,3.0,0.0,0.004230769230769231
157,0.30000000000000004,0.15645798,0.9964580302636276,2,7.0,0.0,0.004615384615384615
158,-0.5,0.20141698319999998,0.996437353931114,5,15.0,0.0,0.021538461538461538
159,-2.9,0.257367325,0.9964042726914717,8,19.0,0.0,0.03692307692307692
160,-1.3000000000000005,0.1543371340730725,0.9963711925501105,8,23.0,0.0,0.019230769230769232
161,0.0,0.3406534123226666,0.9963587877802432,3,10.0,0.0,0.016923076923076923
162,-4.0,0.3203759445806522,0.9963257091489592,8,30.0,0.0,0.02961538461538462
163,0.4,0.20393775,0.9963174396627326,2,6.0,0.0,0.013846153846153845
164,-0.09999999999999998,0.2978660628,0.9963050355620859,3,11.0,0.0,0.013846153846153845
165,-3.5,0.30042053866249996,0.9962719587153497,8,25.0,0.0,0.05500000000000001
166,-0.8,0.3205400092545132,0.9962512862437886,5,18.0,0.0,0.03230769230769231
167,-3.5,0.35384801898499996,0.9962182111815038,8,25.0,0.0,0.04153846153846154
168,-2.6,0.3007951687110664,0.9961851372172951,8,16.0,0.0,0.04
169,0.6,0.486,0.9961810030489756,1,4.0,0.0,0.003076923076923077
170,0.7000000000000001,0.40831283844,0.9961727347638071,2,3.0,0.0,0.015000000000000001
171,-3.8000000000000003,0.3311154294386875,0.9961396623093933,8,28.0,0.0,0.05500000000000001
172,-3.1,0.24238875520185194,0.9961065909529693,8,21.0,0.0,0.05
173,-3.0,0.27013120278339575,0.9960735206944982,8,20.0,0.0,0.01153846153846154
174,-3.8,0.2906255000804975,0.9960404515339438,8,28.0,0.0,0.04153846153846154
175,-2.0,0.27696335569496844,0.9960073834712696,8,30.0,0.0,0.03692307692307692
176,0.09999999999999987,0.16887671882730002,0.9959949832308066,3,9.0,0.0,0.01076923076923077
177,0.8,0.648,0.9959908498516262,1,2.0,0.0,0.004615384615384615
178,-3.7,0.39066578441333677,0.9959577834357041,8,27.0,0.0,0.033846153846153845
179,-0.6,0.29590171120000003,0.9959412506394162,4,16.0,0.0,0.021153846153846155
180,0.7,0.41334299999999996,0.995937117483226,1,3.0,0.0,0.005384615384615385
181,-4.700000000000001,0.30112178048015253,0.9959040528511923,8,37.0,0.0,0.03076923076923077
182,0.6000000000000001,0.34388631000000003,0.9958957868647056,2,4.0,0.0,0.010384615384615384
183,-0.19999999999999996,0.18389545587,0.9958751221986457,5,12.0,0.0,0.025384615384615387
184,-3.4000000000000004,0.27614290145932857,0.9958420596248256,8,24.0,0.0,0.04230769230769231
185,-2.5999999999999996,0.262524676943375,0.9958089981486671,8,16.0,0.0,0.012307692307692308
186,-3.6,0.38930951221908183,0.9957759377701336,8,26.0,0.0,0.045000000000000005
187,-1.5,0.24551402112,0.9957470108392837,7,25.0,0.0,0.04
188,-3.0999999999999996,0.25811953422816625,0.9957139525186991,8,21.0,0.0,0.05769230769230768
189,1.1102230246251565e-16,0.22908764269454174,0.9956974237699792,4,10.0,0.0,0.03461538461538461
190,0.6,0.43739999999999996,0.9956932916256706,1,4.0,0.0,0.004230769230769231
191,0.7,0.37200869999999997,0.9956891594985103,1,3.0,0.0,0.0026923076923076926
192,0.9,0.5314409999999999,0.9956850273884984,1,1.0,0.0,0.006153846153846154
193,-3.4,0.23810575276249998,0.9956519711257344,8,24.0,0.0,0.065
194,-3.5,0.2746571844603342,0.9956189159604224,8,25.0,0.0,0.04
195,0.3,0.15285915,0.9956065205563598,3,7.0,0.0,0.01153846153846154
196,-3.4,0.27379049905529773,0.9955734668999849,8,24.0,0.0,0.03076923076923077
197,-3.0999999999999996,0.3168656339350231,0.9955404143409754,8,21.0,0.0,0.07615384615384616
198,-3.4000000000000004,0.29112960742230043,0.995507362879295,8,24.0,0.0,0.02961538461538462
199,-3.6,0.273391590845398,0.995474312514907,8,26.0,0.0,0.04230769230769231
200,-2.6,0.26914342365616495,0.9954412632477753,8,16.0,0.0,0.031153846153846157
201,-3.2,0.2566049524365264,0.9954082150778634,8,22.0,0.0,0.02961538461538462
202,0.5,0.3497247204696,0.9953999532068216,2,5.0,0.0,0.010384615384615384
203,-1.3000000000000003,0.13927933069857146,0.9953710371981875,7,23.0,0.0,0.05923076923076923
204,-1.3,0.1641313985376771,0.9953379913597465,8,23.0,0.0,0.04230769230769231
205,0.09999999999999998,0.17330152499999998,0.9953297300715604,2,9.0,0.0,0.016153846153846154
206,-3.5,0.2611283386529206,0.995296685604496,8,25.0,0.0,0.024230769230769236
207,-3.8,0.24674994279363152,0.995263642234492,8,28.0,0.0,0.024230769230769236
208,-3.5,0.3045912280732488,0.995230599961512,8,25.0,0.0,0.04153846153846154
209,0.0,0.39095567524799996,0.9952182093919635,3,10.0,0.0,0.016923076923076923
210,0.3,0.16292652457499998,0.9952099490979657,2,7.0,0.0,0.012692307692307694
211,0.8,0.52488,0.9952058189766769,1,2.0,0.0,0.01076923076923077
212,-3.3999999999999995,0.2323260039737673,0.9951727786234013,8,24.0,0.0,0.04153846153846154
213,-0.10000000000000009,0.21041439810990126,0.9951603887737256,3,11.0,0.0,0.02
214,0.0,0.204089874075,0.9951438692141067,4,10.0,0.0,0.025384615384615387
215,-0.10000000000000009,0.19097102444872005,0.9951273499287108,4,11.0,0.0,0.01846153846153846
216,-3.5,0.2532444417303581,0.9950943121805695,8,25.0,0.0,0.03692307692307692
217,-2.8,0.22826664086245785,0.9950612755292656,8,18.0,0.0,0.05076923076923076
218,-1.0,0.18913855635151539,0.9950323693590953,7,20.0,0.0,0.02769230769230769
219,-3.9000000000000004,0.32189241947264957,0.9949993347642635,8,29.0,0.0,0.02076923076923077
220,-0.30000000000000004,0.1720201643918486,0.9949828178781245,4,13.0,0.0,0.011538461538461537
221,-3.3999999999999995,0.30137396896615826,0.9949497849283777,8,24.0,0.0,0.02076923076923077
