episode,reward,loss,epsilon,hops,delay_ms,dropped,avg_util,avg_q_util,buf_size,buf_fill_pct,beta,mean_prio
103,-0.5377846697401223,0.40729948026793344,0.9997815504542824,7,45.127931426098854,1.0,0.029605544649923494,0.03128369653028811,506,2.53,0.40001499999999995,0.5186856261321476
104,0.9054173683155583,0.4189694821834564,0.9997191450637545,2,12.71258765463443,0.0,0.05846559611699208,0.08380167895146275,508,2.54,0.40003750000000005,0.7236434519290924
105,-2.908307777739102,0.5063296811921256,0.9995007568706702,7,38.74143434711088,1.0,0.026217598273958434,0.0179919895098996,515,2.5749999999999997,0.40006,0.8738236938204084
106,0.892593238006978,0.4039379060268402,0.9994383690070042,2,16.712974524275218,0.0,0.03493805193075347,0.062192307557360826,517,2.585,0.4000825,0.8503921031951904
107,0.2920391326737207,0.4044752955436707,0.9992824163843875,5,30.313641049918377,1.0,0.04399389498844805,0.018771860170617067,522,2.6100000000000003,0.4001,0.8163095116615295
108,-3.4239870524709293,0.4268159887620381,0.9990641235944848,7,35.42587887806871,0.0,0.03946418198581346,0.035331722482620224,529,2.645,0.40013000000000004,0.8510861652238029
109,-3.3982563036439197,0.4510064721107483,0.998845878490543,7,21.94239651357536,1.0,0.07743466535852088,0.057420997248429015,536,2.68,0.40016500000000005,0.8929227420261928
110,-3.1776850510194956,0.31590330600738525,0.9986276810621448,7,45.60769407003704,1.0,0.03104798447766614,0.028939173810355292,543,2.715,0.40020000000000006,0.738954884665353
111,-3.507253782067691,0.31757486718041555,0.9984095312988759,7,30.409709828282885,1.0,0.031556504746403605,0.03983774368271897,550,2.75,0.40023500000000006,0.7682950752122062
112,0.05657946205406417,0.26848420749108,0.9982225837171614,6,24.13423262991693,1.0,0.022993417939012297,0.06464250288459386,556,2.78,0.40026750000000005,0.707097738981247
113,-3.8460654746997047,0.2708440497517586,0.9980045224472234,7,53.17899835256076,0.0,0.025707926941023956,0.022665276162376017,563,2.815,0.40030000000000004,0.6941656810896737
114,0.7685914451288778,0.21361731737852097,0.9979422279770527,2,16.947982903988,1.0,0.0748593572550677,0.09162964611563719,565,2.825,0.4003225,0.7119278013706207
115,-3.607855627084483,0.3877712403024946,0.9977242279506987,7,59.23317750126979,0.0,0.028978715235391393,0.03489654133730648,572,2.86,0.400345,0.7429933803422111
116,0.8440247630661893,0.26983267565568286,0.9976308139467476,3,16.17007300417025,0.0,0.024150448554946566,0.0705572701122029,575,2.875,0.40036999999999995,0.6758918762207031
117,0.5017539968883498,0.23408134281635284,0.9975062755463515,4,21.786692390154737,1.0,0.03581627013289602,0.08115035886399442,579,2.895,0.4003875,0.6735497862100601
118,0.8540046814546725,0.20970571041107178,0.9974128819486471,3,16.256765736842738,0.0,0.058548267614622854,0.1458345772169092,582,2.91,0.40040499999999996,0.6281890869140625
119,0.7761800807952317,0.2631840147078037,0.9972883707536081,4,22.237695219076883,1.0,0.018937964288086525,0.041049071287413315,586,2.93,0.4004225,0.6262252032756805
120,0.4400976897602236,0.2329685479402542,0.997132753617277,5,23.120152421638906,1.0,0.029061708355724337,0.04905064008590235,591,2.955,0.40044500000000005,0.6587371945381164
121,-3.14325294680537,0.2252595978123801,0.9969149304202292,7,40.3849013587246,1.0,0.01740011459953437,0.04292649144210557,598,2.9899999999999998,0.4004750000000001,0.5961810691016061
122,-3.5916650437040807,0.1634319531066077,0.9966971548065598,7,20.735586640753816,1.0,0.03562415404938517,0.05905013039345228,605,3.025,0.4005100000000001,0.5359576344490051
123,-3.487994439974006,0.15104358004672186,0.9964794267658746,7,42.319117830795456,1.0,0.04400154725732504,0.06563339269247603,612,3.06,0.40054500000000004,0.4934955707618168
124,-0.6888294454083445,0.14891462985958373,0.9962617462877806,7,30.928646983089756,1.0,0.018071393489587775,0.024818272730185484,619,3.0949999999999998,0.40058,0.5032960644790104
125,-3.1793427129477214,0.15059666122709,0.9960441133618883,7,25.257675719067933,1.0,0.03666190461273971,0.03524598901154336,626,3.1300000000000003,0.400615,0.47761001331465586
126,1.0147528859374588,0.14139077067375183,0.9960130268251103,1,7.085354730998645,0.0,0.08136483787218918,0.20880889604170128,627,3.1350000000000002,0.400635,0.48940297961235046
127,-3.6572251663290603,0.12166474972452436,0.9957954482318715,7,24.257713452499015,1.0,0.03492684938148028,0.04449047337814411,634,3.17,0.400655,0.4461133565221514
128,-3.0577292855153524,0.14363670029810496,0.9955779171685777,7,25.712742533295955,0.0,0.031032171328983702,0.03686755022076459,641,3.205,0.40069,0.48209525857652935
129,-3.5255145979397877,0.10137068373816353,0.9953604336248459,7,45.620318149712006,1.0,0.04357564847309384,0.0419621183211513,648,3.2399999999999998,0.400725,0.41768992798668997
130,0.7420047761298033,0.10500939438740413,0.99526724093605,3,11.206695591696548,1.0,0.0403808529152713,0.09560406883045224,651,3.2550000000000003,0.40075,0.4435073335965474
131,0.6184887104215513,0.11541101336479187,0.9951740569726133,3,13.80610794312328,1.0,0.05163034231290489,0.09064880363512762,654,3.27,0.40076500000000004,0.4212225079536438
132,0.5182801039243015,0.09614771157503128,0.9950187697543537,5,26.175030210307085,1.0,0.027604374061994622,0.04190630074719765,659,3.295,0.40078499999999995,0.3924745261669159
133,1.0537284770155768,0.07781453430652618,0.9949877152185497,1,4.002715334137015,0.0,0.06986943306012289,0.09310559904817031,660,3.3000000000000003,0.40080000000000005,0.3934532403945923
134,-3.471240156004786,0.1342026921255248,0.9947703606041656,7,45.384587963019015,0.0,0.043488212824110264,0.05425578528036671,667,3.335,0.40082,0.4489631652832031
135,-0.49670578248013786,0.10574061485628287,0.9945840944403859,6,33.61862657925043,1.0,0.025076421151463194,0.04555986016465407,673,3.3649999999999998,0.40085250000000006,0.4147956967353821
136,-3.4230562041323545,0.1274160189288003,0.9943668279967776,7,27.636050652229418,1.0,0.06213108591047534,0.048609798347657066,680,3.4000000000000004,0.400885,0.4440566727093288
137,-3.2132746690309224,0.13188530930450984,0.9941496090149251,7,47.45209296325252,0.0,0.04060303865245637,0.04237821263114534,687,3.435,0.40092,0.4449132595743452
138,0.5521937057226802,0.14411473646759987,0.9940255051878077,4,18.318309316263736,0.0,0.03380703317660628,0.07275454062047126,691,3.4549999999999996,0.40094749999999996,0.4537970498204231
139,0.9591350007674672,0.11082728579640388,0.9939634590840186,2,11.52120964050179,0.0,0.04726136173145263,0.15207921578873876,693,3.465,0.4009625,0.4023103266954422
140,1.0496446032272244,0.17213588953018188,0.9939324374844607,1,5.592585422587263,0.0,0.08075679541183069,0.2401421254589386,694,3.47,0.40097000000000005,0.5432208776473999
141,1.0142446441401305,0.17040085792541504,0.9938703971898669,2,6.616505008528701,0.0,0.05519376264808641,0.11690719583235268,696,3.4799999999999995,0.4009775,0.45390546321868896
142,-3.410873423399,0.10945841989346913,0.9936532866530988,7,34.44314392645534,0.0,0.011386740555615551,0.022687925451528167,703,3.515,0.40099999999999997,0.4239827649933951
143,0.4157387224109884,0.12060219297806422,0.9934672296562662,6,28.130514943029358,1.0,0.03166763615786182,0.03497175912507273,709,3.5450000000000004,0.40103249999999996,0.42926157017548877
144,0.8177764030856631,0.12592335604131222,0.9933432110133998,4,24.616071707126686,0.0,0.032974762176465375,0.054408806376937915,713,3.565,0.4010575,0.42007751017808914
145,-2.8701319419691558,0.10542146010058266,0.9931262156402123,7,37.57654989079474,0.0,0.01153037127699737,0.013977053046311987,720,3.5999999999999996,0.4010850000000001,0.4117762403828757
146,-2.9473222200303684,0.10050450158970696,0.9929092676695656,7,34.05803556111675,1.0,0.03843007821101734,0.04746840727512599,727,3.6350000000000002,0.4011200000000001,0.40945434144565035
147,-3.975619142235757,0.0987694923366819,0.9926923670911045,7,52.23679028662217,1.0,0.046001345656316334,0.035162411085129165,734,3.6700000000000004,0.40115500000000004,0.40393804226602825
148,-3.780562519112487,0.08341071541820254,0.9924755138944763,7,49.128826945333316,1.0,0.04070072245523784,0.0640852796428693,741,3.705,0.40119,0.39734298416546415
149,0.39261424912481446,0.0740542896091938,0.9923825913122846,3,24.368289316992847,1.0,0.021694031254409076,0.05582582477686811,744,3.7199999999999998,0.40121500000000004,0.3991897900899251
150,0.8938691550930988,0.08033639565110207,0.9923206477575792,2,15.768772650210508,0.0,0.05247167074818759,0.13874706568948392,746,3.73,0.4012275,0.38606004416942596
151,-2.9131376230831734,0.08968782371708325,0.9921038757628704,7,43.423688368785385,1.0,0.01259705785702286,0.01666239583664942,753,3.765,0.40125000000000005,0.36618509888648987
152,0.12414509362528803,0.0826565655214446,0.9918871511219054,7,13.730353160611719,1.0,0.06496290503469448,0.03920550396055009,760,3.8,0.40128500000000006,0.3604307046958378
153,-3.4033990476453546,0.0947156133396285,0.9916704738243397,7,31.482570143878334,0.0,0.062318918235128355,0.0535242044320755,767,3.8350000000000004,0.40132000000000007,0.3594844767025539
154,-3.164961703715986,0.0818370660500867,0.9914538438598313,7,37.26334962214385,0.0,0.033827097295192815,0.03838246888953987,774,3.8699999999999997,0.4013550000000001,0.35707357951572966
155,0.6191905019658164,0.09448237717151642,0.9913610169336194,3,14.245360782613654,0.0,0.01994376197822606,0.045009224201127185,777,3.8850000000000002,0.40138000000000007,0.378401259581248
156,0.9862288741984493,0.1276349574327469,0.991330076556281,1,7.24993047377892,0.0,0.05113504727388369,0.06926681071639351,778,3.8899999999999997,0.40139,0.4360623061656952
157,-0.3948261732687123,0.11890770282064166,0.991113520951401,7,42.811601196519796,0.0,0.013343078503598766,0.025250166895583032,785,3.925,0.40141,0.4201552058969225
158,0.4844458229697729,0.09562257491052151,0.9909897961317738,4,22.9064705421879,0.0,0.03177973641287299,0.05410540404235255,789,3.945,0.40143750000000006,0.37207310646772385
159,-3.401858066682952,0.09893771899597985,0.9907733148609982,7,27.280286852960245,1.0,0.013578400737922935,0.021792024752759313,796,3.9800000000000004,0.401465,0.37995709265981403
160,0.6678221177165589,0.11480414308607578,0.9906496325107109,4,25.395058965747356,1.0,0.04495878244460654,0.0754306991133164,800,4.0,0.40149250000000003,0.38718485832214355
161,-3.6343874995171594,0.09132465081555503,0.9904332255485236,7,38.57021418901273,1.0,0.025045334907329568,0.05291944411091218,807,4.035,0.40152000000000004,0.3813691479819162
162,-2.876471403612885,0.06450713452483926,0.9902168658603391,7,34.62805357538106,1.0,0.013640402036598597,0.02196873824807173,814,4.07,0.40155500000000005,0.3329828126089914
